"Severity","Category","File","Message","Recommendation"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\ActiveDirectoryDiscovery.psm1","Discovery module missing required function: Invoke-Discovery","Implement required discovery interface functions"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\ActiveDirectoryDiscovery.psm1","Discovery module missing required function: Get-DiscoveryInfo","Implement required discovery interface functions"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\ActiveDirectoryDiscovery.psm1","Function 'ConvertTo-DNSRecordObject' lacks error handling","Add try-catch blocks for robust error handling"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\AzureDiscovery.psm1","Discovery module missing required function: Invoke-Discovery","Implement required discovery interface functions"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\AzureDiscovery.psm1","Discovery module missing required function: Get-DiscoveryInfo","Implement required discovery interface functions"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\AzureDiscovery.psm1","Function 'Write-AzureLog' lacks error handling","Add try-catch blocks for robust error handling"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","Discovery module missing required function: Invoke-Discovery","Implement required discovery interface functions"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","Discovery module missing required function: Get-DiscoveryInfo","Implement required discovery interface functions"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","Function 'EndOperation' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","Function 'Test-RetryableError' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","Function 'Calculate-BackoffDelay' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","Function 'Write-MandALog' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","Function 'Invoke-ProgressAwareBatch' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","Function 'Test-DiscoveryPrerequisites' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","Function 'Get-RequiredConfiguration' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","Function 'Test-DiscoveryDataQuality' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","Function 'Get-DataValidationRules' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","Function 'Export-DiscoveryData' lacks error handling","Add try-catch blocks for robust error handling"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\EnvironmentDetectionDiscovery.psm1","Discovery module missing required function: Invoke-Discovery","Implement required discovery interface functions"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\EnvironmentDetectionDiscovery.psm1","Discovery module missing required function: Get-DiscoveryInfo","Implement required discovery interface functions"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\EnvironmentDetectionDiscovery.psm1","Function 'Get-EnvironmentType' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\EnvironmentDetectionDiscovery.psm1","Function 'Initialize-EnvironmentInfo' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\EnvironmentDetectionDiscovery.psm1","Function 'Determine-EnvironmentType' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\EnvironmentDetectionDiscovery.psm1","Function 'Write-EnvironmentSummary' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\EnvironmentDetectionDiscovery.psm1","Function 'ConvertTo-EnvironmentDataObject' lacks error handling","Add try-catch blocks for robust error handling"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\ExchangeDiscovery.psm1","Discovery module missing required function: Invoke-Discovery","Implement required discovery interface functions"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\ExchangeDiscovery.psm1","Discovery module missing required function: Get-DiscoveryInfo","Implement required discovery interface functions"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\ExternalIdentityDiscovery.psm1","Discovery module missing required function: Invoke-Discovery","Implement required discovery interface functions"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\ExternalIdentityDiscovery.psm1","Discovery module missing required function: Get-DiscoveryInfo","Implement required discovery interface functions"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\ExternalIdentityDiscovery.psm1","Function 'Get-ExternalIdentityConfig' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\ExternalIdentityDiscovery.psm1","Function 'Get-GuestDomain' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\ExternalIdentityDiscovery.psm1","Function 'Get-PartnerType' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\ExternalIdentityDiscovery.psm1","Function 'Get-PartnerRiskAssessment' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\ExternalIdentityDiscovery.psm1","Function 'Convert-ToFlattenedData' lacks error handling","Add try-catch blocks for robust error handling"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\FileServerDiscovery.psm1","Discovery module missing required function: Invoke-Discovery","Implement required discovery interface functions"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\FileServerDiscovery.psm1","Discovery module missing required function: Get-DiscoveryInfo","Implement required discovery interface functions"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\FileServerDiscovery.psm1","Function 'Write-SafeLog' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\FileServerDiscovery.psm1","Function 'Get-FileServerConfig' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\FileServerDiscovery.psm1","Function 'Get-OrCreateCimSession' lacks error handling","Add try-catch blocks for robust error handling"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\FileServerDiscovery.psm1","Function 'Convert-ToFlattenedFileServerData' lacks error handling","Add try-catch blocks for robust error handling"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\GPODiscovery.psm1","Discovery module missing required function: Invoke-Discovery","Implement required discovery interface functions"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\GPODiscovery.psm1","Discovery module missing required function: Get-DiscoveryInfo","Implement required discovery interface functions"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\GPODiscovery.psm1","Function 'Convert-ToFlattenedGPOData' lacks error handling","Add try-catch blocks for robust error handling"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\GraphDiscovery.psm1","Discovery module missing required function: Invoke-Discovery","Implement required discovery interface functions"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\GraphDiscovery.psm1","Discovery module missing required function: Get-DiscoveryInfo","Implement required discovery interface functions"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\GraphDiscovery.psm1","Function 'Write-GraphLog' lacks error handling","Add try-catch blocks for robust error handling"
"ERROR","Interface","C:\UserMigration\Modules\Discovery\IntuneDiscovery.psm1","Discovery module missing required function: Invoke-Discovery","Implement required discovery interface functions"
